product_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
M14860,0.3043478260869534,0.3580246913580325,0.2532981530343008,0.1911764705882349,-1.0,1
L47181,0.3152173913043441,0.3703703703703738,-0.5013192612137203,0.4485294117647057,-0.9722222222222222,1
L47184,0.3152173913043441,0.3703703703703738,-0.5013192612137203,-0.0147058823529413,-0.9166666666666666,1
M14865,0.3043478260869534,0.3580246913580325,-0.4116094986807387,0.1249999999999997,-0.8981481481481481,1
L47186,0.3043478260869534,0.3580246913580325,0.2902374670184696,0.1617647058823527,-0.8703703703703703,1
L47187,0.3043478260869534,0.3580246913580325,0.1266490765171504,0.0,-0.8518518518518519,1
M14868,0.3260869565217348,0.3703703703703738,0.8654353562005277,-0.8529411764705886,-0.8333333333333334,1
H29424,0.3369565217391255,0.3950617283950635,1.4722955145118737,-1.1985294117647067,-0.7777777777777778,1
H29425,0.3586956521739139,0.4197530864197603,-0.4221635883905013,0.3014705882352938,-0.7314814814814815,1
L47195,0.3586956521739139,0.4320987654321016,0.2058047493403693,0.6029411764705882,-0.6111111111111112,1
M14876,0.3586956521739139,0.4320987654321016,-1.0131926121372032,0.4705882352941177,-0.5925925925925926,1
M14877,0.3695652173912975,0.4320987654321016,-0.4907651715039577,0.3970588235294118,-0.5648148148148148,1
H29432,0.3804347826086953,0.4320987654321016,-1.0395778364116095,1.0514705882352944,-0.5370370370370371,1
L47201,0.3804347826086953,0.4444444444444499,-0.2796833773087071,0.3382352941176468,-0.4166666666666667,1
M14884,0.4021739130434767,0.4567901234567912,0.3060686015831134,-0.2132352941176475,-0.3518518518518518,1
L47205,0.4021739130434767,0.4691358024691396,1.8891820580474932,-1.24264705882353,-0.324074074074074,1
L47206,0.4130434782608674,0.4691358024691396,0.0474934036939313,-0.0882352941176473,-0.3055555555555556,1
H29441,0.4130434782608674,0.4567901234567912,1.62532981530343,-1.1470588235294124,-0.287037037037037,1
L47208,0.4130434782608674,0.4567901234567912,-0.337730870712401,0.2941176470588236,-0.2407407407407407,1
L47209,0.4021739130434767,0.4567901234567912,1.0026385224274406,-0.7426470588235299,-0.2222222222222222,1
M14890,0.4130434782608674,0.4691358024691396,-0.8654353562005277,0.5882352941176473,-0.2037037037037037,1
L47211,0.4021739130434767,0.4567901234567912,1.5567282321899736,-1.080882352941177,-0.1759259259259259,1
L47212,0.4021739130434767,0.4567901234567912,-0.4432717678100263,0.5955882352941175,-0.1574074074074074,1
L47213,0.3913043478260789,0.4444444444444499,0.8548812664907651,-0.5661764705882357,-0.1388888888888889,1
M14895,0.3804347826086953,0.4320987654321016,-0.2691292875989446,0.6176470588235295,-0.0925925925925925,1
M14896,0.3913043478260789,0.4320987654321016,0.4116094986807387,-0.2573529411764707,-0.0648148148148148,1
L47217,0.3804347826086953,0.4197530864197603,-0.337730870712401,-0.0735294117647059,-0.037037037037037,1
H29452,0.3913043478260789,0.4320987654321016,-0.6543535620052771,0.7720588235294121,-0.0185185185185185,1
L47219,0.3804347826086953,0.4197530864197603,-0.8073878627968337,0.9044117647058824,0.0277777777777777,1
L47220,0.3804347826086953,0.4197530864197603,-0.7440633245382586,0.3823529411764704,0.0462962962962962,1
L47221,0.3804347826086953,0.4197530864197603,-0.712401055408971,0.7794117647058822,0.0648148148148148,1
M14902,0.3804347826086953,0.4197530864197603,-0.712401055408971,0.6544117647058825,0.0833333333333333,1
H29457,0.3804347826086953,0.4320987654321016,-0.6912928759894459,0.6102941176470589,0.1111111111111111,1
M14904,0.3804347826086953,0.4197530864197603,-0.1635883905013192,0.5367647058823529,0.1574074074074074,1
L47225,0.3804347826086953,0.4197530864197603,-0.0738786279683377,0.6544117647058825,0.1851851851851851,1
M14906,0.3695652173912975,0.4074074074074119,1.7941952506596306,-1.0588235294117654,0.2037037037037037,1
L47227,0.3804347826086953,0.4197530864197603,-0.4485488126649076,0.4485294117647057,0.2314814814814814,1
H29462,0.3804347826086953,0.4320987654321016,-0.4116094986807387,1.0073529411764708,0.25,1
L47231,0.3913043478260789,0.4197530864197603,-0.633245382585752,1.0808823529411766,0.3425925925925926,1
H29466,0.3804347826086953,0.4074074074074119,-0.0316622691292876,0.2647058823529408,0.3611111111111111,1
L47233,0.3695652173912975,0.4074074074074119,0.3271767810026385,-0.3750000000000003,0.4074074074074074,1
L47236,0.3804347826086953,0.4197530864197603,-0.1372031662269129,0.1617647058823527,0.4629629629629629,1
L47237,0.3804347826086953,0.4197530864197603,0.0527704485488126,0.0073529411764701,0.4814814814814814,1
M14918,0.3804347826086953,0.4074074074074119,0.8337730870712401,-0.7867647058823535,0.5,1
L47239,0.3804347826086953,0.4197530864197603,-0.6596306068601583,1.0441176470588236,0.5277777777777778,1
L47240,0.3804347826086953,0.4197530864197603,-0.5804749340369393,0.9117647058823533,0.5462962962962963,1
L47242,0.3804347826086953,0.4074074074074119,1.720316622691293,-1.2720588235294126,0.5925925925925926,1
L47244,0.4021739130434767,0.4197530864197603,0.1055408970976253,-0.1176470588235295,0.6388888888888888,1
L47245,0.4021739130434767,0.4197530864197603,-0.575197889182058,0.3602941176470589,0.6574074074074074,1
M14926,0.3913043478260789,0.3950617283950635,0.9287598944591028,-0.8455882352941183,0.6759259259259259,1
H29481,0.3804347826086953,0.3950617283950635,-0.1952506596306068,0.286764705882353,0.7037037037037037,1
L47248,0.3804347826086953,0.3950617283950635,0.1266490765171504,-0.5735294117647064,0.75,1
L47249,0.3913043478260789,0.4074074074074119,-0.4907651715039577,1.8750000000000009,0.7685185185185185,3
L47251,0.3913043478260789,0.4197530864197603,-0.2691292875989446,0.3897058823529411,0.8148148148148148,1
L47252,0.3913043478260789,0.4197530864197603,-0.7071240105540897,0.3088235294117645,0.8333333333333334,1
L47253,0.4021739130434767,0.4197530864197603,0.4696569920844327,-0.3823529411764709,0.8518518518518519,1
L47257,0.3804347826086953,0.3950617283950635,-0.2532981530343008,0.080882352941176,0.925925925925926,5
L47258,0.3804347826086953,0.3950617283950635,-0.554089709762533,0.8308823529411766,-1.0,1
L47259,0.3804347826086953,0.3950617283950635,-0.5329815303430079,-0.1691176470588239,-0.9814814814814816,1
H29494,0.3804347826086953,0.3827160493827222,-0.3060686015831134,0.7132352941176471,-0.9629629629629628,1
L47261,0.3913043478260789,0.3950617283950635,-0.2796833773087071,0.5367647058823529,-0.9166666666666666,1
L47262,0.3913043478260789,0.3950617283950635,-0.2638522427440633,0.0441176470588231,-0.8981481481481481,1
L47263,0.4021739130434767,0.4074074074074119,-0.179419525065963,-0.0073529411764706,-0.8796296296296297,1
H29500,0.4021739130434767,0.4074074074074119,-0.3535620052770448,0.2720588235294116,-0.8148148148148148,1
